load_zone,tech,connection_dist
WA_ID_AVA,gas_smr_ccs,7195.829103255864
WA_N_CEN,bio_atr_ccs,1450.1842008698459
WA_N_CEN,bio_smr,1597.1421712752779
WA_N_CEN,bio_smr_ccs,1450.1842008698459
WA_N_CEN,biomass_gas,
WA_N_CEN,coal_gas,2490.999537748705
WA_N_CEN,coal_gas_ccs,2625.7457680854554
WA_N_CEN,gas_atr_ccs,3635.8605397434912
WA_N_CEN,gas_smr,3635.8605397434912
WA_N_CEN,gas_smr_ccs,3635.8605397434912
WA_SEATAC,bio_atr_ccs,
WA_SEATAC,bio_smr,
WA_SEATAC,bio_smr_ccs,
WA_SEATAC,biomass_gas,
WA_SEATAC,coal_gas,
WA_SEATAC,coal_gas_ccs,
WA_SEATAC,gas_atr_ccs,
WA_SEATAC,gas_smr,
WA_SEATAC,gas_smr_ccs,
WA_W,bio_atr_ccs,2847.112931039495
WA_W,bio_smr,2847.112931039495
WA_W,bio_smr_ccs,2847.112931039495
WA_W,biomass_gas,1721.8363945643764
WA_W,coal_gas,3426.0858239681875
WA_W,coal_gas_ccs,3426.0858239681875
WA_W,gas_atr_ccs,4465.982859452893
WA_W,gas_smr,4465.982859452893
WA_W,gas_smr_ccs,4465.982859452893
WY_NE,bio_atr_ccs,2390.3909742519877
WY_NE,bio_smr,2390.3909742519877
WY_NE,bio_smr_ccs,2390.3909742519877
WY_NE,biomass_gas,
WY_NE,coal_gas,1854.3374803245185
WY_NE,coal_gas_ccs,1720.776459329814
WY_NE,gas_atr_ccs,3413.6474549574577
WY_NE,gas_smr,3413.6474549574577
WY_NE,gas_smr_ccs,3413.6474549574577
WY_NW,bio_atr_ccs,1835.115279283312
WY_NW,bio_smr,1835.115279283312
WY_NW,bio_smr_ccs,1835.115279283312
WY_NW,biomass_gas,
WY_NW,coal_gas,2125.8215126194077
WY_NW,coal_gas_ccs,2125.8215126194077
WY_NW,gas_atr_ccs,3166.3351448873227
WY_NW,gas_smr,3166.3351448873227
WY_NW,gas_smr_ccs,3166.3351448873227
WY_SE,bio_atr_ccs,2947.349048632558
WY_SE,bio_smr,2947.349048632558
WY_SE,bio_smr_ccs,2947.349048632558
WY_SE,biomass_gas,
WY_SE,coal_gas,3021.1052337944147
WY_SE,coal_gas_ccs,3002.622299280082
WY_SE,gas_atr_ccs,4079.7006895063255
WY_SE,gas_smr,4079.7006895063255
WY_SE,gas_smr_ccs,4079.7006895063255
WY_SW,bio_atr_ccs,2085.3882507814965
WY_SW,bio_smr,2085.3882507814965
WY_SW,bio_smr_ccs,2085.3882507814965
WY_SW,biomass_gas,
WY_SW,coal_gas,2540.5783500843904
WY_SW,coal_gas_ccs,2540.5783500843904
WY_SW,gas_atr_ccs,4008.34519786583
WY_SW,gas_smr,4008.34519786583
WY_SW,gas_smr_ccs,4008.34519786583
